"Week 1","","",""
"","4:25 pm","Cincinnati Bengals","Buffalo Bills"
"","4:25 pm","Los Angeles Rams","Arizona Cardinals"
"","8:20 pm","Houston Texans","Kansas City Chiefs"
"Mon Dec 8","8:15 pm","Philadelphia Eagles","Los Angeles Chargers"
"Bye: Carolina, New England, N.Y. Giants, San Francisco","","",""
"Week 15","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 11","8:15 pm","Atlanta Falcons","Tampa Bay Buccaneers"
"Sun Dec 14","1:00 pm","Arizona Cardinals","Houston Texans"
"","1:00 pm","Baltimore Ravens","Cincinnati Bengals"
"","1:00 pm","Buffalo Bills","New England Patriots"
"","1:00 pm","Cleveland Browns","Chicago Bears"
"","1:00 pm","Las Vegas Raiders","Philadelphia Eagles"
"","1:00 pm","Los Angeles Chargers","Kansas City Chiefs"
"","1:00 pm","New York Jets","Jacksonville Jaguars"
"","1:00 pm","Washington Commanders","New York Giants"
"","4:25 pm","Carolina Panthers","New Orleans Saints"
"","4:25 pm","Detroit Lions","Los Angeles Rams"
"","4:25 pm","Green Bay Packers","Denver Broncos"
"","4:25 pm","Indianapolis Colts","Seattle Seahawks"
"","4:25 pm","Tennessee Titans","San Francisco 49ers"
"","8:20 pm","Minnesota Vikings","Dallas Cowboys"
"Mon Dec 15","8:15 pm","Miami Dolphins","Pittsburgh Steelers"
"Week 16","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 18","8:15 pm","Los Angeles Rams","Seattle Seahawks"
"Sat Dec 20","1:00 pm","Green Bay Packers","Chicago Bears *"
"","1:00 pm","Philadelphia Eagles","Washington Commanders *"
"Sun Dec 21","1:00 pm","Buffalo Bills","Cleveland Browns"
"","1:00 pm","Kansas City Chiefs","Tennessee Titans"
"","1:00 pm","Los Angeles Chargers","Dallas Cowboys"
"","1:00 pm","Minnesota Vikings","New York Giants"
"","1:00 pm","New England Patriots","Baltimore Ravens"
"","1:00 pm","New York Jets","New Orleans Saints"
"","1:00 pm","Tampa Bay Buccaneers","Carolina Panthers"
"","4:05 pm","Atlanta Falcons","Arizona Cardinals"
"","4:05 pm","Jacksonville Jaguars","Denver Broncos"
"","4:25 pm","Las Vegas Raiders","Houston Texans"
"","4:25 pm","Pittsburgh Steelers","Detroit Lions"
"","8:20 pm","Cincinnati Bengals","Miami Dolphins"
"Mon Dec 22","8:15 pm","San Francisco 49ers","Indianapolis Colts"
"* Tentative flex schedule game, start time is subject to change.","","",""
"Week 17","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 25","1:00 pm","Dallas Cowboys","Washington Commanders"
"","4:30 pm","Detroit Lions","Minnesota Vikings"
"","8:15 pm","Denver Broncos","Kansas City Chiefs"
"Sat Dec 27","1:00 pm","Arizona Cardinals","Cincinnati Bengals *"
"","1:00 pm","Baltimore Ravens","Green Bay Packers *"
"","1:00 pm","Houston Texans","Los Angeles Chargers *"
"","1:00 pm","New York Giants","Las Vegas Raiders *"
"","1:00 pm","Seattle Seahawks","Carolina Panthers *"
"Sun Dec 28","1:00 pm","Jacksonville Jaguars","Indianapolis Colts"
"","1:00 pm","New England Patriots","New York Jets"
"","1:00 pm","New Orleans Saints","Tennessee Titans"
"","1:00 pm","Pittsburgh Steelers","Cleveland Browns"
"","1:00 pm","Tampa Bay Buccaneers","Miami Dolphins"
"","4:25 pm","Philadelphia Eagles","Buffalo Bills"
"","8:20 pm","Chicago Bears","San Francisco 49ers"
"Mon Dec 29","8:15 pm","Los Angeles Rams","Atlanta Falcons"
"* Tentative flex schedule game, start time is subject to change.","","",""
"Week 18","","",""
"Date","Time (ET)","Away Team","Home Team"
"Sat Jan 3","1:00 pm","Arizona Cardinals","Los Angeles Rams *"
"","1:00 pm","Baltimore Ravens","Pittsburgh Steelers *"
"","1:00 pm","Carolina Panthers","Tampa Bay Buccaneers *"
"","1:00 pm","Cleveland Browns","Cincinnati Bengals *"
"","1:00 pm","Dallas Cowboys","New York Giants *"
"","1:00 pm","Detroit Lions","Chicago Bears *"
"","1:00 pm","Green Bay Packers","Minnesota Vikings *"
"","1:00 pm","Indianapolis Colts","Houston Texans *"
"","1:00 pm","Kansas City Chiefs","Las Vegas Raiders *"
"","1:00 pm","Los Angeles Chargers","Denver Broncos *"
"","1:00 pm","Miami Dolphins","New England Patriots *"
"","1:00 pm","New Orleans Saints","Atlanta Falcons *"
"","1:00 pm","New York Jets","Buffalo Bills *"
"","1:00 pm","Seattle Seahawks","San Francisco 49ers *"
"","1:00 pm","Tennessee Titans","Jacksonville Jaguars *"
"","1:00 pm","Washington Commanders","Philadelphia Eagles *"
"* Tentative flex schedule game, start time is subject to change.","","",""
