"Week 1","","",""
"","4:05 pm","Atlanta Falcons","Denver Broncos"
"","4:05 pm","Seattle Seahawks","San Francisco 49ers"
"","4:25 pm","Cincinnati Bengals","Los Angeles Chargers"
"","4:25 pm","Kansas City Chiefs","Buffalo Bills"
"","8:20 pm","Indianapolis Colts","New York Jets"
"Mon Nov 18","8:15 pm","Houston Texans","Dallas Cowboys"
"Bye: Arizona, Carolina, N.Y. Giants, Tampa Bay","","",""
"Week 12","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 21","8:15 pm","Pittsburgh Steelers","Cleveland Browns"
"Sun Nov 24","1:00 pm","Dallas Cowboys","Washington Commanders"
"","1:00 pm","Detroit Lions","Indianapolis Colts"
"","1:00 pm","Kansas City Chiefs","Carolina Panthers"
"","1:00 pm","Minnesota Vikings","Chicago Bears"
"","1:00 pm","New England Patriots","Miami Dolphins"
"","1:00 pm","Tampa Bay Buccaneers","New York Giants"
"","1:00 pm","Tennessee Titans","Houston Texans"
"","4:05 pm","Denver Broncos","Las Vegas Raiders"
"","4:25 pm","Arizona Cardinals","Seattle Seahawks"
"","4:25 pm","San Francisco 49ers","Green Bay Packers"
"","8:20 pm","Philadelphia Eagles","Los Angeles Rams"
"Mon Nov 25","8:15 pm","Baltimore Ravens","Los Angeles Chargers"
"Bye: Atlanta, Buffalo, Cincinnati, Jacksonville, New Orleans, N.Y. Jets","","",""
"Week 13","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Nov 28","12:30 pm","Chicago Bears","Detroit Lions"
"","4:30 pm","New York Giants","Dallas Cowboys"
"","8:20 pm","Miami Dolphins","Green Bay Packers"
"Fri Nov 29","3:00 pm","Las Vegas Raiders","Kansas City Chiefs"
"Sun Dec 1","1:00 pm","Arizona Cardinals","Minnesota Vikings"
"","1:00 pm","Houston Texans","Jacksonville Jaguars"
"","1:00 pm","Indianapolis Colts","New England Patriots"
"","1:00 pm","Los Angeles Chargers","Atlanta Falcons"
"","1:00 pm","Pittsburgh Steelers","Cincinnati Bengals"
"","1:00 pm","Seattle Seahawks","New York Jets"
"","1:00 pm","Tennessee Titans","Washington Commanders"
"","4:05 pm","Los Angeles Rams","New Orleans Saints"
"","4:05 pm","Tampa Bay Buccaneers","Carolina Panthers"
"","4:25 pm","Philadelphia Eagles","Baltimore Ravens"
